,Country names,DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
186,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2016,13.1,
187,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2017,11.2,
188,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2018,8.5,
189,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2019,6.6,
190,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2020,7.5,
191,Croatia,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HR,2021,7.6,
192,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2010,10.8,
193,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2011,10.7,
194,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2012,10.7,
195,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2013,9.8,
196,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2014,7.5,
197,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2015,6.6,
198,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2016,5.0,
199,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2017,4.0,
200,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2018,3.6,
201,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2019,3.3,
202,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2020,4.1,
203,Hungary,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,HU,2021,4.1,
204,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2010,14.6,
205,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2011,15.4,
206,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2012,15.5,
207,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2013,13.8,
208,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2014,11.9,
209,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2015,9.9,
210,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2016,8.4,
211,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2017,6.7,
212,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2018,5.8,
213,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2019,5.0,
214,Ireland,ESTAT:TPS00203(1.0),17/11/22 09:58:00,A,Y15-74,PC_ACT,T,IE,2020,5.9,
